trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.3, 'e': 0.7829999999999999}",25,0,-121.60494068055911,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
118,False,"{'a': 0.3, 'e': 0.7819999999999999}",20,0,-80.20200614565665,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
119,False,"{'a': 0.3, 'e': 0.7809999999999999}",20,0,-46.510892637076616,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
120,False,"{'a': 0.3, 'e': 0.7799999999999999}",20,0,-38.07802497838633,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
121,False,"{'a': 0.3, 'e': 0.7789999999999999}",30,14,-20.996663899170777,"{0: 12, 1: 1, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.3, 'e': 0.7779999999999999}",20,0,-18.133390099392408,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.3, 'e': 0.7769999999999999}",20,0,4.22868007104287,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
124,False,"{'a': 0.3, 'e': 0.7759999999999999}",20,0,-62.67757455441631,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
125,False,"{'a': 0.3, 'e': 0.7749999999999999}",20,0,-85.82101442252647,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
126,False,"{'a': 0.3, 'e': 0.7739999999999999}",20,0,-96.96753836324989,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
127,False,"{'a': 0.3, 'e': 0.7729999999999999}",25,0,-32.99271058316579,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
128,False,"{'a': 0.3, 'e': 0.7719999999999999}",20,5,-24.773188153547302,"{0: 10, 1: 4, 2: 0, 3: 1, 4: 0}",1
129,False,"{'a': 0.3, 'e': 0.7709999999999999}",20,0,-139.29210592341798,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
130,False,"{'a': 0.3, 'e': 0.7699999999999999}",20,0,-58.77014723491537,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
131,False,"{'a': 0.3, 'e': 0.7689999999999999}",25,0,-39.729969749294916,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
132,False,"{'a': 0.3, 'e': 0.7679999999999999}",25,10,-31.272847975485213,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 0}",1
133,False,"{'a': 0.3, 'e': 0.7669999999999999}",30,0,-98.59617394852584,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.3, 'e': 0.7659999999999999}",25,0,-87.50349419988552,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
135,False,"{'a': 0.3, 'e': 0.7649999999999999}",20,11,-8.649925221202391,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.3, 'e': 0.7639999999999999}",20,0,-81.13233801664951,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
137,False,"{'a': 0.3, 'e': 0.7629999999999999}",20,0,-77.7209004182109,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
138,False,"{'a': 0.3, 'e': 0.7619999999999999}",20,6,-75.78811276254766,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
139,False,"{'a': 0.3, 'e': 0.7609999999999999}",20,0,-62.33050332498336,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
140,False,"{'a': 0.3, 'e': 0.7599999999999999}",30,11,-115.47359563038704,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 3}",1
141,False,"{'a': 0.3, 'e': 0.7589999999999999}",30,12,-21.36863788612265,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
142,False,"{'a': 0.3, 'e': 0.7579999999999999}",20,0,-69.61926965151177,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
143,False,"{'a': 0.3, 'e': 0.7569999999999999}",25,0,-103.33832629866,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 0}",0
144,False,"{'a': 0.3, 'e': 0.7559999999999999}",30,0,-29.353675711228,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
145,False,"{'a': 0.3, 'e': 0.7549999999999999}",20,4,-67.1411591426212,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 2}",1
146,False,"{'a': 0.3, 'e': 0.7539999999999999}",20,0,-82.18180347897392,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
147,False,"{'a': 0.3, 'e': 0.7529999999999999}",35,4,-121.21790002308607,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 2}",1
148,False,"{'a': 0.3, 'e': 0.7519999999999999}",20,0,-61.03512219118349,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
149,False,"{'a': 0.3, 'e': 0.7509999999999999}",25,0,-113.16293141891603,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.3, 'e': 0.7499999999999999}",25,12,-45.247583619905534,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 1}",1
151,False,"{'a': 0.3, 'e': 0.7489999999999999}",20,12,-35.01280970460608,"{0: 4, 1: 2, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.3, 'e': 0.7479999999999999}",20,8,-34.98046857681623,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.3, 'e': 0.7469999999999999}",30,0,-78.63451718767332,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
154,False,"{'a': 0.3, 'e': 0.7459999999999999}",30,16,-57.915349631112036,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
155,False,"{'a': 0.3, 'e': 0.7449999999999999}",20,0,-103.33892100796267,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
156,False,"{'a': 0.3, 'e': 0.7439999999999999}",25,10,5.290998346313649,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.3, 'e': 0.7429999999999999}",20,0,-6.759768178371923,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
158,False,"{'a': 0.3, 'e': 0.7419999999999999}",20,0,-43.35055446299462,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
159,False,"{'a': 0.3, 'e': 0.7409999999999999}",35,16,-60.44854659406886,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
160,False,"{'a': 0.3, 'e': 0.7399999999999999}",25,0,-114.52589692306069,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
161,False,"{'a': 0.3, 'e': 0.7389999999999999}",20,0,-48.88553380704806,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
162,False,"{'a': 0.3, 'e': 0.7379999999999999}",30,0,-215.7869179118189,"{0: 19, 1: 2, 2: 3, 3: 2, 4: 4}",0
163,False,"{'a': 0.3, 'e': 0.7369999999999999}",20,13,3.9401546902014193,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.3, 'e': 0.7359999999999999}",30,0,-50.17581139789965,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
165,False,"{'a': 0.3, 'e': 0.7349999999999999}",20,0,-13.686404837246608,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
166,False,"{'a': 0.3, 'e': 0.7339999999999999}",30,0,-17.187765682458483,"{0: 24, 1: 3, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.3, 'e': 0.7329999999999999}",25,0,-123.5421038543953,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
168,False,"{'a': 0.3, 'e': 0.7319999999999999}",25,0,-99.51997904222459,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
169,False,"{'a': 0.3, 'e': 0.7309999999999999}",25,0,-225.22640035074565,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 4}",0
170,False,"{'a': 0.3, 'e': 0.7299999999999999}",25,8,-161.88702385939905,"{0: 10, 1: 1, 2: 1, 3: 2, 4: 3}",1
171,False,"{'a': 0.3, 'e': 0.7289999999999999}",20,3,-85.22606426359506,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
172,False,"{'a': 0.3, 'e': 0.7279999999999999}",20,2,-102.72958568559734,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 1}",1
173,False,"{'a': 0.3, 'e': 0.7269999999999999}",25,7,-52.20731256650033,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 0}",1
174,False,"{'a': 0.3, 'e': 0.7259999999999999}",20,0,-58.544154533515425,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
175,False,"{'a': 0.3, 'e': 0.7249999999999999}",25,4,-56.70060800836792,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 0}",1
176,False,"{'a': 0.3, 'e': 0.7239999999999999}",25,5,-109.1695345278453,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",1
177,False,"{'a': 0.3, 'e': 0.7229999999999999}",20,0,-80.26593846657515,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
178,False,"{'a': 0.3, 'e': 0.7219999999999999}",25,0,-113.63738302577906,"{0: 15, 1: 4, 2: 3, 3: 2, 4: 1}",0
179,False,"{'a': 0.3, 'e': 0.7209999999999999}",30,0,-41.032362605667046,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
180,False,"{'a': 0.3, 'e': 0.7199999999999999}",20,0,-80.61831885587038,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
181,False,"{'a': 0.3, 'e': 0.7189999999999999}",35,8,-88.85542271723835,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 1}",1
182,False,"{'a': 0.3, 'e': 0.7179999999999999}",30,11,-36.94382884322542,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 1}",1
183,False,"{'a': 0.3, 'e': 0.7169999999999999}",20,0,-67.409200178694,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
184,False,"{'a': 0.3, 'e': 0.7159999999999999}",30,10,-41.22559026494393,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",1
185,False,"{'a': 0.3, 'e': 0.7149999999999999}",30,0,-73.78430172295033,"{0: 25, 1: 0, 2: 2, 3: 2, 4: 1}",0
186,False,"{'a': 0.3, 'e': 0.7139999999999999}",35,23,-32.775516880567544,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.3, 'e': 0.7129999999999999}",20,0,-82.97855327243421,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
188,False,"{'a': 0.3, 'e': 0.7119999999999999}",25,0,-127.36928642959269,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
